model_id,pdf_name,scan,table,rotation,draw,text_edit_norm_micro,text_meteor_micro,text_classification_macro_f1,table_micro_precision,table_micro_recall,table_micro_f1,table_teds_mean_on_matched,image_micro_precision,image_micro_recall,image_micro_f1,image_desc_cosine_mean_on_matched,image_desc_applicability,lists_f1,headers_f1,paras_f1,heading_edge_f1_micro,text_accuracy_component,text_semantics_component,text_structure_component,tables_component,hierarchy_component,images_component,score
dpsk-ocr-Gundam,0. Сертификат ИНТИ (INTI.QS.PS.20-12-2023-488),0,0,0,0,0.5212373037857803,0.4888799726317012,0.7708333333333334,1.0,1.0,1.0,,0.5,0.3333333333333333,0.4,0.0,1.0,,0.6666666666666666,0.8750000000000001,,0.47876269621421974,0.4888799726317012,0.7708333333333334,0.0,0.0,0.30000000000000004,0.37253566721148024
dpsk-ocr-Gundam,1. Сертификат ИНТЕРГАЗСЕРТ (ОГН4.RU.1102.В03418),1,0,0,0,0.34563543003851094,0.5842916370246299,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,,0.0,,1.0,1.0,,0.6543645699614891,0.5842916370246299,1.0,0.0,0.0,0.0,0.4596640517465298
dpsk-ocr-Gundam,1.1. Затвор с редуктором  и удлин,0,0,0,1,0.98661800486618,0.2,1.0,0.6666666666666666,0.5,0.5714285714285715,0.7871875,0.5,0.5,0.5,0.0,1.0,,,1.0,,0.01338199513381999,0.2,1.0,0.44982142857142865,0.0,0.375,0.3120597844977407
dpsk-ocr-Gundam,1.ТП 1751-25,0,1,0,0,1.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpsk-ocr-Gundam,1187-25 Расчет и чертежи по ТУ,0,1,1,1,0.945360824742268,0.17647058823529413,,1.0,0.2,0.33333333333333337,0.24499367827839957,0.5,0.3333333333333333,0.4,0.0,1.0,,,,,0.05463917525773199,0.17647058823529413,0.0,0.0816645594261332,0.0,0.30000000000000004,0.08911035275848317
dpsk-ocr-Gundam,2. Затвор дисковый DN200 1.0 МПа,0,0,0,1,0.52,0.661764705882353,,0.6666666666666666,0.5,0.5714285714285715,0.9943181818181819,1.0,0.0,0.0,,0.0,,,,,0.48,0.661764705882353,0.0,0.5681818181818183,0.0,0.0,0.39907754010695196
dpsk-ocr-Gundam,2.1 Сертификат на тип ЗКС (ЕАЭС RU СТ-RU.НВ94.01974),1,0,0,0,0.23324824505424377,0.8389986897875021,0.8800000000000001,1.0,1.0,1.0,,0.5,0.3333333333333333,0.4,0.0,1.0,,0.8,0.9600000000000001,,0.7667517549457562,0.8389986897875021,0.8800000000000001,0.0,0.0,0.30000000000000004,0.5484376111833146
dpsk-ocr-Gundam,3. Заполн. Опл001_ОЛ СППК 180.2 - Энергомаш,1,1,0,0,0.35355634046679135,0.7693203783333333,0.5660403102361734,0.8,0.6666666666666666,0.7272727272727272,0.8956703959140073,1.0,1.0,1.0,0.0,1.0,0.5507246376811594,0.5454545454545455,0.6019417475728155,,0.6464436595332086,0.7693203783333333,0.5660403102361734,0.6513966515738234,0.0,0.75,0.6066263863168261
dpsk-ocr-Gundam,4. CC ТР ТС 012 (на все ТУ Энергомаш),1,0,0,0,0.7236173082909619,0.715806393932187,0.8805194805194804,1.0,1.0,1.0,0.9860777167221026,0.0,0.0,0.0,,0.0,1.0,0.7272727272727272,0.9142857142857143,0.4,0.27638269170903806,0.715806393932187,0.8805194805194804,0.9860777167221026,0.4,0.0,0.6173407368326489
dpsk-ocr-Gundam,4. ДС ТР ТС 032 по 17.11.2029 (SchuF),1,0,0,0,0.08288303991633258,0.754317686978721,0.7583333333333333,1.0,1.0,1.0,0.4691592399233595,1.0,0.0,0.0,,0.0,,0.6,0.9166666666666666,,0.9171169600836674,0.754317686978721,0.7583333333333333,0.4691592399233595,0.0,0.0,0.625440509750269
dpsk-ocr-Gundam,7. Приложение к ИК_Анкета_01.2025,0,1,0,0,0.8422515635858235,1.0,,1.0,0.23529411764705882,0.38095238095238093,0.3462928282186333,1.0,0.0,0.0,,0.0,,,,,0.15774843641417646,1.0,0.0,0.13192107741662218,0.0,0.0,0.31582132458686857
dpsk-ocr-Gundam,АП093815,0,1,0,0,1.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpsk-ocr-Gundam,Выписка из ТУ 28.14.13-001-40886479-2021 изм.1 (общие требования),1,1,0,0,0.8427177700348432,0.42216373324627776,0.5555555555555555,0.5454545454545454,0.6666666666666666,0.6,0.5438918378467267,0.0,0.0,0.0,,0.0,0.25,0.6666666666666666,0.7499999999999999,0.8571428571428571,0.15728222996515684,0.42216373324627776,0.5555555555555555,0.326335102708036,0.8571428571428571,0.0,0.37917613039208486
